#wlen[nm]	a.u.
380.00	0.0147
381.25	0.0153
382.50	0.0184
383.75	0.0249
385.00	0.0364
386.25	0.0514
387.50	0.0669
388.75	0.0953
390.00	0.1234
391.25	0.1622
392.50	0.2335
393.75	0.3073
395.00	0.4108
396.25	0.5157
397.50	0.6145
398.75	0.7925
400.00	0.8858
401.25	0.9912
402.50	0.9971
403.75	0.9724
405.00	0.8651
406.25	0.7674
407.50	0.6179
408.75	0.5160
410.00	0.4123
411.25	0.3119
412.50	0.2687
413.75	0.2134
415.00	0.1881
416.25	0.1496
417.50	0.1303
418.75	0.1035
420.00	0.0830
421.25	0.0705
422.50	0.0575
423.75	0.0474
425.00	0.0407
426.25	0.0348
427.50	0.0296
428.75	0.0249
430.00	0.0208
