# bin_left_ns bin_right_ns counts
102.3514 103.0084 44
103.0084 103.6654 165
103.6654 104.3224 262
104.3224 104.9794 238
104.9794 105.6363 240
105.6363 106.2933 184
106.2933 106.9503 192
106.9503 107.6073 152
107.6073 108.2643 138
108.2643 108.9213 111
108.9213 109.5782 115
109.5782 110.2352 107
110.2352 110.8922 94
110.8922 111.5492 86
111.5492 112.2062 80
112.2062 112.8632 62
112.8632 113.5201 54
113.5201 114.1771 44
114.1771 114.8341 54
114.8341 115.4911 55
115.4911 116.1481 40
116.1481 116.8051 38
116.8051 117.4620 31
117.4620 118.1190 27
118.1190 118.7760 32
118.7760 119.4330 39
119.4330 120.0900 32
120.0900 120.7470 34
120.7470 121.4039 26
121.4039 122.0609 17
122.0609 122.7179 21
122.7179 123.3749 22
123.3749 124.0319 20
124.0319 124.6889 18
124.6889 125.3458 24
125.3458 126.0028 15
126.0028 126.6598 15
126.6598 127.3168 14
127.3168 127.9738 15
127.9738 128.6308 14
128.6308 129.2878 12
129.2878 129.9447 11
129.9447 130.6017 13
130.6017 131.2587 15
131.2587 131.9157 13
131.9157 132.5727 11
132.5727 133.2297 9
133.2297 133.8866 11
133.8866 134.5436 14
134.5436 135.2006 6
135.2006 135.8576 6
135.8576 136.5146 4
136.5146 137.1716 8
137.1716 137.8285 9
137.8285 138.4855 9
138.4855 139.1425 9
139.1425 139.7995 9
139.7995 140.4565 7
140.4565 141.1135 6
141.1135 141.7704 8
141.7704 142.4274 5
142.4274 143.0844 9
143.0844 143.7414 6
143.7414 144.3984 6
144.3984 145.0554 3
145.0554 145.7123 5
145.7123 146.3693 9
146.3693 147.0263 5
147.0263 147.6833 4
147.6833 148.3403 4
148.3403 148.9973 5
148.9973 149.6542 3
149.6542 150.3112 4
150.3112 150.9682 5
150.9682 151.6252 3
151.6252 152.2822 4
152.2822 152.9392 7
152.9392 153.5962 1
153.5962 154.2531 9
154.2531 154.9101 8
154.9101 155.5671 7
155.5671 156.2241 4
156.2241 156.8811 0
156.8811 157.5381 5
157.5381 158.1950 1
158.1950 158.8520 4
158.8520 159.5090 2
159.5090 160.1660 6
160.1660 160.8230 1
160.8230 161.4800 3
161.4800 162.1369 2
162.1369 162.7939 3
162.7939 163.4509 2
163.4509 164.1079 1
164.1079 164.7649 2
164.7649 165.4219 2
165.4219 166.0788 4
166.0788 166.7358 4
166.7358 167.3928 5
167.3928 168.0498 1
168.0498 168.7068 4
168.7068 169.3638 3
169.3638 170.0207 1
170.0207 170.6777 2
170.6777 171.3347 1
171.3347 171.9917 2
171.9917 172.6487 3
172.6487 173.3057 3
173.3057 173.9626 1
173.9626 174.6196 7
174.6196 175.2766 4
175.2766 175.9336 5
175.9336 176.5906 3
176.5906 177.2476 2
177.2476 177.9046 1
177.9046 178.5615 0
178.5615 179.2185 5
179.2185 179.8755 5
179.8755 180.5325 1
180.5325 181.1895 3
181.1895 181.8465 1
181.8465 182.5034 0
182.5034 183.1604 3
183.1604 183.8174 2
183.8174 184.4744 4
184.4744 185.1314 2
185.1314 185.7884 2
185.7884 186.4453 1
186.4453 187.1023 4
187.1023 187.7593 3
187.7593 188.4163 4
188.4163 189.0733 2
189.0733 189.7303 2
189.7303 190.3872 2
190.3872 191.0442 3
191.0442 191.7012 2
191.7012 192.3582 4
192.3582 193.0152 0
193.0152 193.6722 3
193.6722 194.3291 2
194.3291 194.9861 0
194.9861 195.6431 5
195.6431 196.3001 0
196.3001 196.9571 2
196.9571 197.6141 0
197.6141 198.2710 0
198.2710 198.9280 1
198.9280 199.5850 2
199.5850 200.2420 2
200.2420 200.8990 2
200.8990 201.5560 0
